import time: self [us] | cumulative | imported package
import time:       325 |        325 |                     sqlalchemy.engine.characteristics
import time:      1700 |       6542 |                   sqlalchemy.engine.default
import time:       520 |     197412 |                 sqlalchemy
import time:        10 |     197421 |               sqlalchemy.sql
import time:        12 |     197432 |             sqlalchemy.sql.schema
import time:       146 |        146 |               sqlalchemy.engine.strategies
import time:       292 |        292 |                       sqlalchemy.ext
import time:       521 |        813 |                     sqlalchemy.ext.compiler
import time:      1174 |       1174 |                             configparser
import time:       689 |        689 |                                 tomllib._re
import time:       849 |       1538 |                               tomllib._parser
import time:       280 |       1817 |                             tomllib
import time:      1002 |       3992 |                           alembic.util.compat
import time:       164 |        164 |                           alembic.util.exc
import time:       331 |       4486 |                         alembic.util.editor
import time:       633 |        633 |                         alembic.util.langhelpers
import time:      2299 |       2299 |                           termios
import time:       340 |       2639 |                         alembic.util.messaging
import time:       592 |        592 |                               tempfile
import time:       491 |        491 |                               importlib.resources.abc
import time:       389 |       1472 |                             importlib.resources._common
import time:       250 |        250 |                             importlib.resources._functional
import time:       259 |       1980 |                           importlib.resources
import time:       342 |        342 |                           mako
import time:       271 |        271 |                             mako.compat
import time:        31 |         31 |                                 gc
import time:       286 |        316 |                               timeit
import time:       496 |        812 |                             mako.util
import time:       222 |        222 |                               mako.ext
import time:        51 |         51 |                               pygments
import time:       384 |        656 |                             mako.ext.pygmentplugin
import time:       988 |        988 |                                   html.entities
import time:      2523 |       3510 |                                 html
import time:        18 |       3528 |                               html.entities
import time:      1608 |       1608 |                                 markupsafe._speedups
import time:       671 |       2279 |                               markupsafe
import time:       419 |       6225 |                             mako.filters
import time:       542 |       8504 |                           mako.exceptions
import time:       288 |        288 |                             mako.cache
import time:       348 |        348 |                                   mako._ast_util
import time:       275 |        623 |                                 mako.pyparser
import time:       271 |        893 |                               mako.ast
import time:       426 |        426 |                               mako.parsetree
import time:       271 |        271 |                               mako.pygen
import time:       722 |       2311 |                             mako.codegen
import time:       553 |        553 |                             mako.runtime
import time:       316 |        316 |                             mako.lexer
import time:       792 |       4258 |                           mako.template
import time:       382 |      15465 |                         alembic.util.pyfiles
import time:      2028 |       2028 |                         alembic.util.sqla_compat
import time:       341 |      25590 |                       alembic.util
import time:        17 |      25606 |                     alembic.util.sqla_compat
import time:       550 |      26968 |                   alembic.ddl.base
import time:      1223 |       1223 |                     alembic.ddl._autogen
import time:       501 |       1724 |                   alembic.ddl.impl
import time:       581 |      29272 |                 alembic.ddl.mssql
import time:       313 |        313 |                 alembic.ddl.mysql
import time:       873 |        873 |                 alembic.ddl.oracle
import time:       330 |        330 |                       sqlalchemy.dialects.postgresql.operators
import time:       500 |        829 |                     sqlalchemy.dialects.postgresql.array
import time:       488 |        488 |                       sqlalchemy.dialects.postgresql.json
import time:      1094 |       1094 |                       sqlalchemy.dialects.postgresql.ranges
import time:       582 |        582 |                           sqlalchemy.dialects.postgresql.types
import time:      2683 |       3264 |                         sqlalchemy.dialects.postgresql.pg_catalog
import time:       800 |        800 |                         sqlalchemy.dialects.postgresql.ext
import time:       783 |        783 |                         sqlalchemy.dialects.postgresql.hstore
import time:       587 |        587 |                         sqlalchemy.dialects.postgresql.named_types
import time:      2683 |       8115 |                       sqlalchemy.dialects.postgresql.base
import time:       259 |        259 |                         sqlalchemy.connectors
import time:       678 |        936 |                       sqlalchemy.connectors.asyncio
import time:       976 |      11608 |                     sqlalchemy.dialects.postgresql.asyncpg
import time:       977 |        977 |                     sqlalchemy.dialects.postgresql.pg8000
import time:       483 |        483 |                       sqlalchemy.dialects.postgresql._psycopg_common
import time:       780 |       1262 |                     sqlalchemy.dialects.postgresql.psycopg
import time:       655 |        655 |                     sqlalchemy.dialects.postgresql.psycopg2
import time:       268 |        268 |                     sqlalchemy.dialects.postgresql.psycopg2cffi
import time:       333 |        333 |                       sqlalchemy.dialects._typing
import time:       738 |       1070 |                     sqlalchemy.dialects.postgresql.dml
import time:       638 |      17303 |                   sqlalchemy.dialects.postgresql
import time:       376 |        376 |                                 alembic.operations.schemaobj
import time:       358 |        358 |                                   alembic.operations.batch
import time:      1012 |       1369 |                                 alembic.operations.base
import time:      3566 |       5311 |                               alembic.operations.ops
import time:       307 |       5617 |                             alembic.operations.toimpl
import time:       190 |       5806 |                           alembic.operations
import time:       259 |       6065 |                         alembic.autogenerate.compare.comments
import time:       196 |        196 |                           alembic.autogenerate.compare.util
import time:       411 |        606 |                         alembic.autogenerate.compare.constraints
